date,score_mn
2020-06-05,1.975
2020-06-06,1.8333333333333333
2020-06-07,1.8076923076923077
2020-06-08,1.65
2020-06-09,2.033333333333333
2020-06-10,1.8535714285714284
2020-06-11,1.6795454545454542
2020-06-12,1.6833333333333333
2020-06-13,2.1666666666666665
2020-06-14,1.75
2020-06-15,1.8625
2020-06-16,1.6583333333333332
2020-06-17,1.9214285714285713
2020-06-18,1.7205882352941178
2020-06-19,1.7361111111111112
2020-06-20,1.8541666666666665
2020-06-21,1.4602272727272727
2020-06-22,1.7375
2020-06-23,1.8311407342657342
2020-06-24,1.8333333333333335
2020-06-25,1.825
2020-06-26,1.925
2020-06-27,1.8
2020-06-28,1.9464285714285714
2020-06-29,1.6375
2020-06-30,1.7083333333333335
2020-07-01,1.95
2020-07-02,1.9000000000000001
2020-07-03,1.7830029013539652
2020-07-04,1.7830029013539652
