date,biden
2020-04-11,29
2020-04-12,27
2020-04-13,52
2020-04-14,57
2020-04-15,48
2020-04-16,36
2020-04-17,38
2020-04-18,43
2020-04-19,32
2020-04-20,26
2020-04-21,21
2020-04-22,27
2020-04-23,23
2020-04-24,25
2020-04-25,45
2020-04-26,35
2020-04-27,33
2020-04-28,42
2020-04-29,53
2020-04-30,41
2020-05-01,73
2020-05-02,55
2020-05-03,40
2020-05-04,29
2020-05-05,26
2020-05-06,27
2020-05-07,26
2020-05-08,28
2020-05-09,32
2020-05-10,25
2020-05-11,24
2020-05-12,31
2020-05-13,28
2020-05-14,23
2020-05-15,26
2020-05-16,30
2020-05-17,18
2020-05-18,21
2020-05-19,21
2020-05-20,28
2020-05-21,23
2020-05-22,98
2020-05-23,90
2020-05-24,56
2020-05-25,53
2020-05-26,42
2020-05-27,39
2020-05-28,42
2020-05-29,43
2020-05-30,27
2020-05-31,40
2020-06-01,36
2020-06-02,100
2020-06-03,64
2020-06-04,39
2020-06-05,38
2020-06-06,38
2020-06-07,39
2020-06-08,39
2020-06-09,50
2020-06-10,38
2020-06-11,38
2020-06-12,39
2020-06-13,39
2020-06-14,38
2020-06-15,29
2020-06-16,37
2020-06-17,34
2020-06-18,32
2020-06-19,40
2020-06-20,37
2020-06-21,53
2020-06-22,37
2020-06-23,40
2020-06-24,56
2020-06-25,47
2020-06-26,65
2020-06-27,45
2020-06-28,44
2020-06-29,30
2020-06-30,53
2020-07-01,51
2020-07-02,36
2020-07-03,37
2020-07-04,44
2020-07-05,44
2020-07-06,37
2020-07-07,36
2020-07-08,41
2020-07-09,63
2020-07-10,60
2020-07-11,39
