date,vote trump,isPartial
2020-04-11,0,False
2020-04-12,0,False
2020-04-13,0,False
2020-04-14,0,False
2020-04-15,0,False
2020-04-16,26,False
2020-04-17,0,False
2020-04-18,30,False
2020-04-19,0,False
2020-04-20,0,False
2020-04-21,25,False
2020-04-22,0,False
2020-04-23,0,False
2020-04-24,25,False
2020-04-25,28,False
2020-04-26,0,False
2020-04-27,0,False
2020-04-28,52,False
2020-04-29,25,False
2020-04-30,0,False
2020-05-01,26,False
2020-05-02,0,False
2020-05-03,30,False
2020-05-04,0,False
2020-05-05,0,False
2020-05-06,0,False
2020-05-07,26,False
2020-05-08,0,False
2020-05-09,0,False
2020-05-10,0,False
2020-05-11,0,False
2020-05-12,0,False
2020-05-13,0,False
2020-05-14,25,False
2020-05-15,0,False
2020-05-16,0,False
2020-05-17,30,False
2020-05-18,26,False
2020-05-19,26,False
2020-05-20,26,False
2020-05-21,54,False
2020-05-22,27,False
2020-05-23,0,False
2020-05-24,33,False
2020-05-25,0,False
2020-05-26,0,False
2020-05-27,0,False
2020-05-28,56,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,32,False
2020-06-01,29,False
2020-06-02,29,False
2020-06-03,27,False
2020-06-04,80,False
2020-06-05,27,False
2020-06-06,65,False
2020-06-07,33,False
2020-06-08,27,False
2020-06-09,0,False
2020-06-10,28,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,100,False
2020-06-14,0,False
2020-06-15,0,False
2020-06-16,28,False
2020-06-17,30,False
2020-06-18,29,False
2020-06-19,60,False
2020-06-20,68,False
2020-06-21,0,False
2020-06-22,29,False
2020-06-23,0,False
2020-06-24,30,False
2020-06-25,0,False
2020-06-26,93,False
2020-06-27,34,False
2020-06-28,0,False
2020-06-29,31,False
2020-06-30,31,False
2020-07-01,0,False
2020-07-02,31,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,36,False
2020-07-06,31,False
2020-07-07,31,False
2020-07-08,0,False
2020-07-09,0,False
2020-07-10,0,False
2020-07-11,74,False
