,state,score
0,US,9.623655913978494
1,US-AL,4.811827956989247
2,US-AK,4.811827956989247
3,US-AZ,4.811827956989247
4,US-AR,4.811827956989247
5,US-CA,16.043010752688172
6,US-CO,4.811827956989247
7,US-CT,4.811827956989247
8,US-DE,4.811827956989247
9,US-DC,5.505376344086022
10,US-FL,23.204301075268816
11,US-GA,6.10752688172043
12,US-HI,4.811827956989247
13,US-ID,4.811827956989247
14,US-IL,17.451612903225808
15,US-IN,4.811827956989247
16,US-IA,4.811827956989247
17,US-KS,4.811827956989247
18,US-KY,4.811827956989247
19,US-LA,4.811827956989247
20,US-ME,4.811827956989247
21,US-MD,14.268817204301076
22,US-MA,15.935483870967742
23,US-MI,4.811827956989247
24,US-MN,4.811827956989247
25,US-MS,4.811827956989247
26,US-MO,4.811827956989247
27,US-MT,4.811827956989247
28,US-NE,4.811827956989247
29,US-NV,4.811827956989247
30,US-NH,4.811827956989247
31,US-NJ,13.064516129032258
32,US-NM,4.811827956989247
33,US-NY,29.43010752688172
34,US-NC,4.811827956989247
35,US-ND,4.811827956989247
36,US-OH,4.811827956989247
37,US-OK,4.811827956989247
38,US-OR,4.811827956989247
39,US-PA,4.811827956989247
40,US-RI,4.811827956989247
41,US-SC,4.811827956989247
42,US-SD,4.811827956989247
43,US-TN,4.811827956989247
44,US-TX,19.118279569892472
45,US-UT,4.811827956989247
46,US-VT,4.811827956989247
47,US-VA,15.634408602150538
48,US-WA,4.811827956989247
49,US-WV,4.811827956989247
50,US-WI,4.811827956989247
51,US-WY,4.811827956989247
